Fridge ID,City,Location,Year Founded,Maturity,Industry,IndustryNew,Company Type,Company Type*,Employee Type,Office Size,Innercompany Location,Lead Source,Fridge Type,Service Fee,Subsidy,Revenue,Registered Users,Active users (weekly average 2019 per terminal),Basket size/User/Week,Male/Female Ratio,# Newsletter subscriptions,NL/User,# Fingerprints,FP/User,# Restaurants nearby,Avg. NPS Score
5370,Berlin,Central,2011,immature,Service,E-Commerce,Grownup,Mature Start-Up,White Collar,300,Entrance,Internal Referral,Double Fridge,499 Û,1 Û,Û 355.69,1124,293.85,6.05,1.38,389,35%,314,28%,60,7.5
5637,Berlin,Fringe,2016,immature,Service,"B2C Software, Apps and Digital Services",Startup,Growing Start-Up,White Collar,90,Kitchen,Internal Referral,Double Fridge,499 Û,2 Û,Û 316.63,339,146.44,10.81,0.8,42,12%,108,32%,22,7.8
5661,Berlin,Fringe,2012,immature,Digital,"B2B Software, Data & Equipment",Corporate,Growing Start-Up,White Collar,230,Common Room,Inbound,Double Fridge,499 Û,3 Û,Û 228.45,199,104.67,10.91,1.26,75,38%,39,20%,21,8.2
5699,MÃ¼nchen,Fringe,1995,mature,Broadcasting,E-Commerce,Broadcasting,Corporate,Mixed,350,Hallway,Inbound,Double Fridge,499 Û,0 Û,Û 225.42,811,170.64,6.61,0.66,261,32%,217,27%,0,8
10003,MÃ¼nchen,Central,1999,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",Startup,Corporate,White Collar,400,Hallway,Internal Referral,Double Fridge,499 Û,0 Û,Û 216.40,688,155.18,6.97,1,168,24%,315,46%,9,8.7
20018,Berlin,Central,2000,mature,Service,"B2C Software, Apps and Digital Services",Corporate,SME,White Collar,190,Kitchen,Direct Traffic,Double Fridge,499 Û,5 Û,Û 199.14,163,111.07,8.96,1.59,46,28%,42,26%,1,7.6
5484,Berlin,Central,2011,immature,Service,E-Commerce,Grownup,Growing Start-Up,Customer Care,120,Entrance,Internal Referral,Double Fridge,499 Û,1 Û,Û 197.11,17,157.15,6.27,0.89,8,47%,5,29%,60,
10012,Frankfurt,Fringe,1835,mature,Service,"Transport, Logistics & Delivery Services",Corporate,SME,Mixed,150,Entrance,Paid Social,Double Fridge,0 Û,2 Û,Û 194.10,182,104.15,9.32,1.53,61,34%,75,41%,7,8.6
5702,Frankfurt,Fringe,2015,immature,Product,E-Commerce,Startup,Growing Start-Up,White Collar,100,Common Room,Inbound,Double Fridge,199 Û,3 Û,Û 187.12,171,101.18,9.25,0.47,26,15%,83,49%,21,7
10010,MÃ¼nchen,Central,2011,immature,Digital,E-Commerce,Startup,Mature Start-Up,White Collar,450,Kitchen,Internal Referral,Double Fridge,499 Û,0 Û,Û 179.11,568,139.85,6.4,0.39,115,20%,145,26%,3,7.3
5476,Berlin,Central,2008,mature,Digital,E-Commerce,Grownup,Corporate,White Collar,400,Common Room,Internal Referral,Double Fridge,499 Û,0 Û,Û 178.41,231,119.52,7.46,0.32,61,26%,46,20%,60,
5621,Berlin,Central,1999,mature,Product,E-Commerce,Corporate,Corporate,White Collar,800,Hallway,Internal Referral,Double Fridge,1 Û,0 Û,Û 165.13,395,112.1,7.37,0.56,96,24%,88,22%,60,8.1
5722,Frankfurt,Fringe,1992,mature,Service,"B2B Software, Data & Equipment",Startup,SME,White Collar,250,Common Room,Inbound,Double Fridge,249 Û,2 Û,Û 163.41,210,95.54,8.55,2.82,55,26%,102,49%,9,8.8
5475,Berlin,Central,2011,immature,Service,"Transport, Logistics & Delivery Services",Startup,Mature Start-Up,White Collar,1000,Common Room,Inbound,Double Fridge,0 Û,0 Û,Û 157.61,1339,124.95,6.31,1.11,271,20%,169,13%,60,7.2
5552,Berlin,Central,1997,mature,Digital,"B2B Software, Data & Equipment",Innovation Lab,SME,White Collar,250,Kitchen,Internal Referral,Double Fridge,499 Û,0 Û,Û 157.60,394,103.26,7.63,2.1,60,15%,102,26%,39,7.7
5726,DÃ¼sseldorf,Fringe,1985,mature,Service,"Transport, Logistics & Delivery Services",Corporate,SME,White Collar,205,Kitchen,,Double Fridge,499 Û,1.50 Û,Û 155.31,9,91.95,8.45,0.8,2,22%,,0%,11,
5371,Berlin,Central,2017,immature,Digital,"B2C Software, Apps and Digital Services",Startup,Mature Start-Up,White Collar,350,Entrance,Internal Referral,Double Fridge,499 Û,2.00 Û,Û 140.57,300,91.31,7.7,1.03,56,19%,40,13%,60,7.4
10018,Frankfurt,Central,2013,immature,Service,E-Commerce,Startup,Growing Start-Up,White Collar,205,Kitchen,Direct Traffic,Double Fridge,499 Û,1.00 Û,Û 134.26,229,85.88,7.82,0.96,66,29%,67,29%,60,8.8
30011,KÃ¶ln,Central,1990,mature,Service,Trad. Consumer Goods & Retailer,Grownup,Corporate,White Collar,450,Project area,Paid Search,Single Fridge,499 Û,0.00 Û,Û 125.12,278,80.53,7.77,0.39,89,32%,58,21%,7,
30034,MÃ¼nchen,Central,2001,mature,Digital,"Media, Entertainment, Creative Agencies & Advertisement",Grownup,Corporate,White Collar,560,Entrance,Organic Search,Single Fridge,499 Û,0.00 Û,Û 124.77,297,91.36,6.83,0.87,94,32%,74,25%,22,
5695,Berlin,Central,1977,mature,Call Center,"IT Services, Outsourcing & Engineering Consulting",Call Center,Corporate,Mixed,650,Entrance,Inbound,Double Fridge,499 Û,0.00 Û,Û 124.33,220,71.62,8.68,1.59,73,33%,32,15%,60,7.7
5554,Berlin,Fringe,2008,mature,Service,"B2B Software, Data & Equipment",Startup,Corporate,White Collar,254,Common Room,Inbound,Double Fridge,499 Û,0.00 Û,Û 122.94,200,76.92,7.99,1.67,37,19%,43,22%,4,5.9
5690,MÃ¼nchen,Central,2006,mature,Digital,E-Commerce,Startup,SME,White Collar,230,Kitchen,Inbound,Double Fridge,1 Û,0.00 Û,Û 122.81,104,88.38,6.95,0.2,25,24%,36,35%,8,7.2
5655,Berlin,Fringe,1994,mature,Logistics,"Transport, Logistics & Delivery Services",Logistics,SME,Mixed,120,Kitchen,Inbound,Double Fridge,499 Û,3.00 Û,Û 120.52,82,48.82,12.34,0.95,25,30%,6,7%,24,8
5658,Berlin,Fringe,1983,mature,Consulting,"IT Services, Outsourcing & Engineering Consulting",Consulting,Corporate,White Collar,456,Common Room,Outbound,Double Fridge,0 Û,0.00 Û,Û 119.79,304,64.85,9.24,1.36,77,25%,45,15%,6,6.5
10006,Hamburg,Central,2007,mature,Digital,"B2B Software, Data & Equipment",Startup,Corporate,White Collar,400,Common Room,Internal Referral,Double Fridge,499 Û,0.00 Û,Û 118.15,356,83.54,7.07,0.8,92,26%,60,17%,60,7.4
30068,Berlin,Central,1987,mature,Consulting,"Business Consulting, Law, Tax & Auditing",Consulting,Corporate,White Collar,1200,Kitchen,Direct Traffic,Single Fridge,499 Û,0.00 Û,Û 117.53,346,80,7.35,0.82,77,22%,37,11%,18,
5671,Berlin,Central,2010,immature,Law,"B2C Software, Apps and Digital Services",Startup,Growing Start-Up,White Collar,100,Top floor,,Double Fridge,499 Û,0.00 Û,Û 116.83,138,76.55,7.63,0.75,22,16%,22,16%,60,6.3
20013,MÃ¼nchen,Fringe,1998,mature,Tech,"IT Services, Outsourcing & Engineering Consulting",Tech,SME,White Collar,200,Kitchen,Paid Search,Double Fridge,499 Û,0.00 Û,Û 114.52,137,65.24,8.78,1.91,29,21%,80,58%,4,6.9
5620,Berlin,Central,1988,mature,Consulting,"Business Consulting, Law, Tax & Auditing",Consulting,Corporate,Suits,800,Entrance,Inbound,Double Fridge,,0.00 Û,Û 114.49,945,95.28,6.01,0.92,177,19%,217,23%,42,8.3
5686,Berlin,Fringe,1990,mature,Finance,"Corporate Service Unit, Call-Center & Customer Support",Corporate,Corporate,White Collar,700,Entrance,Direct Traffic,Double Fridge,499 Û,0.00 Û,Û 111.95,312,73.88,7.58,0.61,132,42%,68,22%,16,8.3
5622,Berlin,Fringe,2012,immature,Digital,"B2B Software, Data & Equipment",Startup,Growing Start-Up,White Collar,180,Common Room,Inbound,Double Fridge,499 Û,0.00 Û,Û 107.44,174,59.77,8.99,1.68,34,20%,42,24%,4,6.1
10023,Berlin,Central,1847,mature,Manufacturing,"Manufacturing, Production & Energy",Corporate,Corporate,Blue Collar,3500,Kitchen,Organic Search,Double Fridge,499 Û,0.00 Û,Û 104.49,675,70.82,7.38,2,248,37%,170,25%,7,8.6
5703,Hamburg,Central,1990,mature,Consulting,"Media, Entertainment, Creative Agencies & Advertisement",Consulting,Corporate,White Collar,500,,Inbound,Double Fridge,499 Û,0.00 Û,Û 101.04,175,74.03,6.82,1.08,68,39%,75,43%,60,7.7
10014,Hamburg,Central,1999,mature,Digital,"Media, Entertainment, Creative Agencies & Advertisement",Startup,SME,White Collar,100,Common Room,Inbound,Double Fridge,1 Û,0.00 Û,Û 99.21,273,75.1,6.6,0.72,78,29%,86,32%,29,6.6
5725,MÃ¼nchen,Central,1950,mature,Law,"Business Consulting, Law, Tax & Auditing",Corporate,Corporate,Suits,420,Cafeteria,Paid Social,Double Fridge,499 Û,0.00 Û,Û 99.05,171,56.23,8.81,0.44,32,19%,26,15%,51,7.2
5479,Berlin,Central,2011,immature,Service,"Transport, Logistics & Delivery Services",Startup,Mature Start-Up,Customer Care,600,Common Room,Internal Referral,Double Fridge,499 Û,0.00 Û,Û 98.03,603,77.74,6.3,1.4,117,19%,169,28%,60,8.4
30045,MÃ¼nchen,Central,1967,mature,Service,"Business Consulting, Law, Tax & Auditing",Corporate,Corporate,White Collar,300,Common Room,Direct Traffic,Single Fridge,399 Û,0.00 Û,Û 97.96,221,59,8.3,0.84,43,19%,55,25%,4,
5551,Berlin,Central,2011,immature,Service,"B2B Software, Data & Equipment",Startup,Growing Start-Up,White Collar,80,Entrance,Internal Referral,Double Fridge,499 Û,1.00 Û,Û 95.93,241,57.95,8.28,2.71,27,11%,86,36%,60,6.4
30065,MÃ¼nchen,Fringe,1992,mature,Broadcasting,"Media, Entertainment, Creative Agencies & Advertisement",Broadcasting,SME,Mixed,240,Common Room,Organic Search,Single Fridge,249 Û,0.00 Û,Û 95.73,189,63.29,7.56,0.72,35,19%,37,20%,4,
10024,Hamburg,Fringe,1984,mature,Service,E-Commerce,Corporate,SME,White Collar,180,Common Room,Organic Search,Double Fridge,499 Û,4.00 Û,Û 95.46,135,68.19,7,1.81,46,34%,34,25%,4,9
5474,Berlin,Central,2009,mature,Digital,"B2B Software, Data & Equipment",Startup,SME,White Collar,250,Common Room,Internal Referral,Double Fridge,,0.00 Û,Û 95.38,252,66.26,7.2,1.36,58,23%,28,11%,0,5.5
20026,DÃ¼sseldorf,Fringe,1987,mature,Consulting,"Business Consulting, Law, Tax & Auditing",Consulting,Corporate,White Collar,1200,Common Room,Direct Traffic,Double Fridge,249 Û,0.00 Û,Û 95.34,275,68.75,6.93,0.83,61,22%,36,13%,22,
5480,Berlin,Central,2010,immature,Digital,"B2C Software, Apps and Digital Services",Startup,Growing Start-Up,White Collar,120,Hallway/Niche,Internal Referral,Double Fridge,1 Û,Article Subsidy,Û 93.43,186,54.41,8.59,0.59,37,20%,64,34%,60,7.5
30025,Hamburg,Fringe,1995,mature,Digital,"Corporate Service Unit, Call-Center & Customer Support",Grownup,SME,White Collar,100,Kitchen,Organic Search,Single Fridge,249 Û,0.00 Û,Û 92.44,159,47.36,9.76,1.12,79,50%,16,10%,31,
5724,Frankfurt,Fringe,1898,mature,Product,Trad. Consumer Goods & Retailer,Corporate,SME,White Collar,240,Common Room,Outbound,Double Fridge,499 Û,0.00 Û,Û 92.25,149,61.59,7.49,0.89,62,42%,74,50%,9,
5687,Berlin,Central,2011,immature,Digital,"B2B Software, Data & Equipment",Startup,Mature Start-Up,White Collar,300,Common Room,Inbound,Double Fridge,499 Û,0.00 Û,Û 91.73,245,48.97,9.37,1.17,42,17%,34,14%,60,8.2
5632,Berlin,Central,1955,mature,Service,"Corporate Service Unit, Call-Center & Customer Support",Corporate,Corporate,Customer Care,500,Common Room,Inbound,Double Fridge,299 Û,1.00 Û,Û 91.59,318,70.28,6.52,0.53,92,29%,62,19%,37,8.1
30055,KÃ¶ln,Fringe,2000,mature,Digital,E-Commerce,Grownup,SME,White Collar,170,Common Room,Direct Traffic,Single Fridge,299 Û,0.00 Û,Û 90.98,119,55.13,8.25,0.89,36,30%,34,29%,3,
30015,Berlin,Fringe,2000,mature,Hospital,"Public Sector, Research & Education",Hospital,Corporate,White Collar,400,Winter garden,Direct traffic,Single Fridge,,0.00 Û,Û 89.65,128,38.2,11.73,0.36,28,22%,18,14%,14,
20019,KÃ¶ln,Central,1957,mature,Digital,"Banking, Finance, Investment, Insurance & Payment",Corporate,Corporate,White Collar,600,Entrance,Paid Search,Double Fridge,499 Û,0.00 Û,Û 89.46,242,63.86,7,0.77,56,23%,45,19%,26,8.2
5711,MÃ¼nchen,Fringe,1869,mature,Service,"Manufacturing, Production & Energy",Corporate,SME,White Collar,250,Common Room,Direct Traffic,Double Fridge,499 Û,1.00 Û,Û 89.35,131,50.56,8.84,1.02,32,24%,40,31%,2,7.3
5698,Hamburg,Fringe,1906,mature,Product,Trad. Consumer Goods & Retailer,Corporate,Corporate,Mixed,800,Hallway,Outbound,Double Fridge,249 Û,0.00 Û,Û 88.71,294,68.08,6.52,0.91,22,7%,66,22%,12,6.8
10025,Hamburg,Central,2014,immature,Service,E-Commerce,Startup,Mature Start-Up,White Collar,650,Kitchen,Outbound,Double Fridge,499 Û,0.00 Û,Û 88.40,306,65.53,6.75,0.79,73,24%,58,19%,60,7.6
5634,KÃ¶ln,Central,1923,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",Corporate,Corporate,White Collar,300,,Direct Traffic,Double Fridge,499 Û,0.00 Û,Û 86.01,290,54.79,7.85,1.3,92,32%,59,20%,22,7.5
10035,Frankfurt,Central,1972,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",White Collar,SME,White Collar,130,Kitchen,Paid Social,Double Fridge,"1,499 Û",0.00 Û,Û 85.61,107,46.48,9.21,0.75,37,35%,41,38%,17,9
5709,Frankfurt,Central,1994,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",Corporate,Corporate,Suits,1100,Common Room,Internal Referral,Double Fridge,499 Û,0.00 Û,Û 82.90,331,60.92,6.8,1.49,83,25%,77,23%,60,8.2
30047,Berlin,Fringe,1899,mature,Product,"Manufacturing, Production & Energy",Corporate,Corporate,White Collar,400,3. OG,Offline,Single Fridge,499 Û,0.00 Û,Û 82.61,159,51.89,7.96,4.68,34,21%,9,6%,36,
30008,KÃ¶ln,Fringe,1964,mature,Service,"Public Sector, Research & Education",Grownup,Corporate,White Collar,280,Kitchen,Offline,Single Fridge,499 Û,0.00 Û,Û 82.15,147,49.61,8.28,0.56,52,35%,37,25%,4,
5688,KÃ¶ln,Central,1990,mature,Digital,"B2B Software, Data & Equipment",Startup,SME,White Collar,250,Kitchen,Outbound,Double Fridge,499 Û,0.00 Û,Û 81.14,226,60.15,6.74,0.47,48,21%,50,22%,57,7.2
5429,Berlin,Central,2012,immature,Service,E-Commerce,Startup,Growing Start-Up,White Collar,200,Hallway,Internal Referral,Double Fridge,99 Û,0.00 Û,Û 79.36,332,57.03,6.96,0.54,55,17%,69,21%,60,7.4
10031,Berlin,Central,1847,mature,Manufacturing,"Manufacturing, Production & Energy",Corporate,Corporate,Blue Collar,2000,Hallway,Organic Search,Double Fridge,499 Û,0.00 Û,Û 79.30,26,51.06,7.77,4.2,6,23%,3,12%,17,
10008,Berlin,Central,1989,mature,Consulting,"Business Consulting, Law, Tax & Auditing",Consulting,Corporate,Suits,2000,Common Room,Internal Referral,Double Fridge,499 Û,0.00 Û,Û 78.42,510,62,6.32,0.83,100,20%,92,18%,12,8.9
30012,Berlin,Central,2002,mature,Digital,"B2B Software, Data & Equipment",Startup,Corporate,White Collar,400,Entrance,Paid Social,Single Fridge,249 Û,0.00 Û,Û 78.26,163,50.5,7.75,2.13,33,20%,40,25%,35,
30022,Berlin,Fringe,1835,mature,Service,Real Estate and Facility Management,Grownup,SME,White Collar,190,Cafeteria,Organic Search,Single Fridge,0 Û,0.00 Û,Û 77.61,139,52.81,7.35,1.01,47,34%,44,32%,2,
30059,Berlin,Central,1998,mature,Digital,"Media, Entertainment, Creative Agencies & Advertisement",Startup,SME,Mixed,130,2. OG Wand Mittelflur,Internal Referral,Single Fridge,249 Û,0.00 Û,Û 77.34,67,26.5,14.59,0.72,10,15%,6,9%,60,
30069,Berlin,Fringe,2008,mature,Health Care,"Manufacturing, Production & Energy",Grownup,Corporate,Mixed,332,Common Room,Organic Search,Single Fridge,538 Û,0.00 Û,Û 75.95,133,44.25,8.58,0.39,28,21%,19,14%,2,
20001,MÃ¼nchen,Fringe,1990,mature,Consulting,"Media, Entertainment, Creative Agencies & Advertisement",Consulting,SME,White Collar,250,Cafeteria,Inbound,Double Fridge,499 Û,0.00 Û,Û 75.93,26,48.94,7.76,1,10,38%,13,50%,25,9.2
30048,Berlin,Central,1997,mature,Digital,E-Commerce,Grownup,SME,White Collar,130,Kitchen,Paid Search,Single Fridge,249 Û,7.50 Û,Û 74.36,70,40.56,9.17,1.41,24,34%,13,19%,60,
5625,Berlin,Central,2009,mature,Digital,E-Commerce,Startup,Corporate,White Collar,400,Common Room,Inbound,Double Fridge,499 Û,0.00 Û,Û 73.84,269,56.59,6.52,1.19,78,29%,53,20%,18,7.8
5714,Berlin,Central,1886,mature,Product,"Manufacturing, Production & Energy",Corporate,Corporate,White Collar,1200,Hallway,Inbound,Double Fridge,0 Û,0.00 Û,Û 73.70,449,61.44,6,0.38,179,40%,40,9%,53,8.1
10040,Berlin,Fringe,2011,immature,Digital,E-Commerce,Startup,Growing Start-Up,White Collar,200,Kitchen,Inbound,Double Fridge,499 Û,0.00 Û,Û 73.38,226,57.44,6.39,0.4,51,23%,50,22%,60,7.9
5685,Frankfurt,Fringe,1973,mature,Digital,"Media, Entertainment, Creative Agencies & Advertisement",Startup,SME,White Collar,230,Kitchen,Inbound,Double Fridge,0 Û,0.00 Û,Û 73.14,177,53.15,6.88,1.06,48,27%,22,12%,2,8.1
